format,typ_2026,titel,beschreibung,slot_ref
interview,Interview,The Parloa Story - You Only Need One Yes,"Von der Idee zum KI-Unicorn: Parloa-Gründer Malte Kosub erzählt die Geschichte hinter Europas führender Conversational-AI-Plattform. Vierzig Absagen, eine entscheidende Zusage - und der Weg von null auf über 560 Millionen USD Funding. Ehrlich, inspirierend und voller Learnings für alle, die selbst gründen wollen. Warum Durchhaltevermögen wichtiger ist als der perfekte Pitch - und wie ein einziges „Ja"" alles verändern kann.",SL039
interview,Interview,The VC Playbook - So investiert einer der erfolgreichsten Investoren Europas,"Trade Republic, Quantum Systems, Zalando, Kry, Sennder, WorldRemit - Florian Heinemann hat Dutzende Unicorns mit aufgebaut. Als Founding Partner von Project A Ventures gehört er zu Europas erfolgreichsten Investoren. Was macht ein Pitch erfolgreich? Welche Gründer*innen bekommen Funding - und welche nicht? Florian öffnet das VC-Playbook: von der ersten Bewertung über Term Sheets bis zum Exit. Ungefilterte Insights für alle, die Kapital suchen oder verstehen wollen, wie Top-Investoren denken.",SL047
interview,Interview,Under Pressure: The Story Of Carla Hinrichs,"Gehe ich für meine Überzeugungen ins Gefängnis? Diese Frage muss sich Carla Hinrichs gestellt haben, als Polizisten Sie am 24. Mai 2023 aus dem Schlaf reißen und ihre Wohnung durchsuchen. Der Vorwurf: Bildung einer kriminellen Vereinigung. Carla ist Klimaaktivistin und war Sprecherin der „Letzten Generation“. Die Gruppe klebte sich auf Straßen, attackierte Gemälde mit Farbe und blockierte sogar Flughäfen. Ob Clara ins Gefängnis muss, ist noch nicht entscheiden. Über diese Ungewissheit und ihren Kampf für das Klima spricht Carla Hinrichs in einem Kurzvortrag und stellt sich anschließend den Fragen von Moderator und Publikum.",SL166
interview,Interview,Under Pressure: The Story Of Frauke Brosius-Gersdorf,"Es war der politische Paukenschlag des Sommers 2025: Die Rechtswissenschaftlerin Frauke Brosius-Gersdorf wird von der SPD als Verfassungsrichterin vorgeschlagen. Als eine von drei neuen Amtsträgern soll die Juristin wie üblich durch die regierende Koalition im Bundestag in das höchste deutsche Richteramt gewählt werden. Doch kurz vor der Wahl entzünden Lobbygruppen und rechte Medien eine Kampagne gegen die Juristin. Konservative Abgeordnete verweigern ihr daraufhin die Zustimmung. Die Debatte um ihre Wahl zur Verfassungsrichterin wird so zu einem einmaligen politischen Debakel. Und der Druck auf die Juristin wächst. Politiker und Aktivisten fordern ihren Rückzug, Journalisten stellen Fragen, ihr Handy steht keine Sekunde still. In diesem Moment entscheidet sich Frauke Brosius-Gersdorf zu handeln. Wie sie diesen Ausnahmezustand meisterte und welche folgenreichen Entscheidungen sie dafür treffen musste, erzählt uns Frauke Brosius-Gersdorf im Live-Talk.",SL133
interview,Interview,Vertrauen als Leadership-Skill: Warum Mut eine Entscheidung ist,"Du kennst sie: Abläufe, die „halt so laufen“ - und trotzdem spürst du, dass mehr möglich wäre. Oft fehlt nicht die Idee, sondern das Vertrauen, sie auszusprechen, auszuprobieren und gemeinsam weiterzudenken. In diesem Fireside Chat geht es darum, warum Vertrauen ein zentraler Leadership-Skill ist, was Mut wirklich braucht und wie psychologische Sicherheit Teams (und dich selbst) handlungsfähig macht.

Das nimmst du mit: 
- Wie du Vertrauen im Alltag aufbaust - auch ohne Titel oder formale Führungsrolle 
- Konkrete Hebel für psychologische Sicherheit: Sprache, Verhalten, Meeting-Design 
- Wie du schwierige Themen ansprechen kannst, ohne Beziehungen zu riskieren 
- Praktische Wege, mit Fehlern, Unsicherheit und Konflikten konstruktiv umzugehen 
- Wie du Veränderung ermöglichst, indem du Verantwortung in der Community teilst statt sie zu delegieren 

Du gehst raus mit Klarheit und Tools, um Zukunft aktiv mitzugestalten - mutig, respektvoll und wirksam.",SL077
interview,Interview,Von Bielefeld in die Welt - How to Scale Globally (Fast),"Von Ostwestfalen in 30 Länder: Jan-Hendrik Goldbeck führt eines der erfolgreichsten Familienunternehmen Deutschlands - und expandiert rasant international. Wie skaliert man ein traditionelles Business global? Welche Märkte, welche Strategien, welche Fehler? Jan-Hendrik teilt seine Learnings aus dem Aufbau eines weltweiten Netzwerks - und warum der Standort egal ist, wenn die Vision stimmt. Für alle, die groß denken und wissen wollen, wie man es auch umsetzt.",SL058
interview,Interview,Von Sport schauen zur Sportschau: Dem eigenen Gesicht eine Stimme verleihen,"Wer Sport und insbesondere Fußball schaut, der kennt Alex Schlüter. Über die Stationen DAZN und Amazon Prime hat sich Alex im letzten Jahr einen Kindheitstraum erfüllt: als Moderator der ARD Sportschau.
In diesem Fireside Chat steht Alex Schlüter Rede und Antwort und erzählt von seinem eindrucksvollen Weg vom leidenschaftlichen Sportfan zum Moderator der Sportschau. Er reflektiert über die Herausforderungen und Highlights seines letzten Jahres, in dem er seine Stimme und Persönlichkeit im deutschen Sportjournalismus fest etabliert hat. Dabei gibt er spannende Einblicke in seine Entwicklung, seine Motivation und die Bedeutung, authentisch am Mikrofon zu sein.",SL173
interview,Interview,What It Takes to Lead an Industry - Behind the Scenes of the Agency of the Year 2025,"Zur Agency of the Year 2025 wird man nicht über Nacht: Es ist das Ergebnis klarer Führung, einer konsequenten Wachstumsagenda und einer Kultur echter Zusammenarbeit. Bei Publicis Groupe verbinden wir kreative Exzellenz mit messbarem Business Impact - und befähigen unsere Teams, mutige Ideen in nachhaltigen Erfolg für unsere Kund:innen zu übersetzen.
Das nimmst du mit:

- Wie du Führung so gestaltest, dass Ambition Richtung bekommt („Where ambition meets direction“) 
- Konkrete Hebel, um Zusammenarbeit über Silos hinweg zur echten Performance-Quelle zu machen 
- Wie du kreative Ideen in klare Outcomes übersetzt - ohne Kreativität klein zu managen 
- Prinzipien für eine Kultur, die Verantwortung stärkt und Mut im Alltag fördert 

Der Talk basiert auf der Führungspraxis innerhalb der Publicis Groupe und zeigt, wie Exzellenz, Wachstum und Community zusammen funktionieren. Du gehst raus mit Klarheit - und dem Mut, Wachstum bewusst zu gestalten.",SL092
interview,Interview,"Young Voices In Politics: New Ideas, Real Impact","Wenn Politiker Wahlen gewinnen und Spitzenämter betreiben wollen, braucht es neben einem politischen Programm und einer Menge Engagement vor allem eines: Hervorragendes Personal. Denn Pressesprecher, Strategen und Berater sind der Maschinenraum für einen erfolgreichen Wahlkampf oder ein Ministeramt. Wie es in diesem Maschinenraum aussieht, darüber sprechen wir mit Clara von Nathusius. Clara wurde mit 29 Jahren die Ehre zuteil, im Kommunikationsstab des Kulturstaatsministers Wolfram Weimer zu arbeiten. Doch vor einem Monat setzte sie hier einen Schlussstrich. Und zwar mit der Begründung: „Ich bin nicht bereit zuzusehen, wie politische Kommunikation weiter an Lebensrealitäten vorbeiredet, während sich Wahlen und Diskurse längst woanders entscheiden.“ Was Clara damit meint, erzählt Sie uns im Live Talk.",SL129
keynote,Keynote,10x oder irrelevant? Wie KI Organisationen verändert und was du jetzt tun kannst.,"KI verändert gerade die Regeln für Karriere, Leistung und Unternehmertum. Unternehmen werden sich in den nächsten Jahren strukturell verändern - ähnlich grundlegend wie einst beim Übergang von der Manufaktur zur industriellen Produktion. 

Das ist keine schlechte Nachricht für junge Menschen, sondern eine große Chance: für alle, die lernen, mit KI zu arbeiten, zu bauen und Verantwortung zu übernehmen.

In diesem Vortrag zeigt Alexander Mrozek, wie diese neue Organisationslogik aussieht, warum eine Renaissance für AI-Talente bevorsteht und wie man sich heute den entscheidenden Vorsprung aufbaut.
Als Gründer der Medienmarke Digitale Optimisten nutzt er KI selbst, um eine neue Art von Medienunternehmen aufzubauen.",SL171
keynote,Keynote,"1KOMMA5° - Zwischen Impact, Life-Style Brand und Clean-Tech-Start-Up",,SL100
keynote,Keynote,25 years in corporate = 25 years of constant change,"Vierteljahrhundert in einem Konzern - und kein Tag wie der andere. ThyssenKrupp-Vorständin Ilse Henne über permanenten Wandel in der Old Economy: Digitalisierung, Dekarbonisierung, Disruption. Wie überlebt man 25 Jahre in einem Unternehmen, das sich ständig neu erfinden muss? Was können Startups von Konzernen lernen - und umgekehrt? Ehrliche Einblicke in Corporate Leadership, Transformation und die Kunst, in Bewegung zu bleiben, wenn alles um einen herum in Bewegung ist.",SL054
keynote,Keynote,AI Ready - KI muss der Golden Retriever in Deinem Arbeitsalltag sein,"Treu, zuverlässig und immer an deiner Seite - genau so sollte KI in deinem Arbeitsalltag funktionieren. Doch zwischen Hype und Realität klafft oft eine große Lücke. Bernd Peper, Partner bei Sopra Steria, und Consultant Sahra Klünder bringen mit, was viele KI-Talks vermissen lassen: echte Praxiserfahrung aus der Beratung. Sie zeigen, wie Unternehmen KI heute wirklich sinnvoll einsetzen, wo der größte Hebel liegt und wie ihr euch jetzt AI Ready macht - damit KI nicht der überforderte Welpe bleibt, sondern euer treuester Begleiter im Job wird.",SL160
keynote,Keynote,Austauschbar. Wie du es nicht wirst.,"Mit 42 jüngster Partner einer der größten deutschen Beratungen. Erster Exit direkt nach dem Studium. Heute KI-Gründer und Host von ""Business ohne Bullshit."" Stephan Baier hat eine Formel gefunden, die erklärt, warum manche Karrieren explodieren und andere im System verschwinden - und sie hat nichts mit Leistung zu tun. 
Das nimmst du mit: 
- Welche Faktoren jenseits von reiner Leistung Karriere-Dynamik auslösen (und wie du sie erkennst) 
- Wie du Positionierung und Sichtbarkeit aufbaust, ohne Lautstärke mit Wirkung zu verwechseln 
- Praktische Entscheidungen, die deine Ambition in Richtung übersetzen („Where ambition meets direction“) 
- Wie du Netzwerke als Community gestaltst - nicht als Tauschgeschäft 
- Konkrete nächste Schritte, um Chancen aktiv zu kreieren statt auf sie zu warten 

Stephan verbindet Beratungspartner-Perspektive, Gründererfahrung und KI-Praxis - und liefert Klartext, der dich handlungsfähig macht. Geh raus und gestalte deine Karriere mutig, bewusst und mit Wirkung.",SL099
keynote,Keynote,"Becoming Micro-Famous: Wie du dir eine Personal Brand auf Social Media aufbaust, die wirklich wirkt","Viele Menschen posten regelmäßig - und wundern sich trotzdem, warum wenig zurückkommt. Sichtbar sein ist heute nur der Anfang: Wirkung entsteht, wenn du weißt, wofür du stehst, wem du helfen willst und wie du das in Inhalte übersetzt, die trusten lassen statt nur zu scrollen.

Das nimmst du mit: 
- Wie du deine Positionierung in einem klaren Satz schärfst (Wert, Zielgruppe, Unterschied) 
- Wie du 3-5 Content-Säulen definierst, die zu deiner Expertise passen und langfristig tragen 
- Wie du Relevanz statt Reichweite priorisierst - und damit eine Community aufbaust 
- Welche Formate & Mechaniken auf Instagram & Co. heute wirklich zählen (ohne dich zu verbiegen) 
- Wie du einen einfachen Content-Rhythmus entwickelst, der konsistent bleibt, auch wenn’s busy wird 

Der/die Speaker:in bringt Praxis aus dem Aufbau wirksamer Personal Brands mit - fokussiert auf Klarheit, Substanz und Verantwortung in der Kommunikation.

Geh raus und zeig nicht nur, dass du da bist - sondern wofür du stehst.",SL069
keynote,Keynote,"Breaking Barriers: Unleash Your Potential in Studies, Career, and Sports","Goldman Sachs, Startup, Venture Capital - Moritz Baier-Lentz has done it all. As an investor and athlete he learned discipline, as a consultant strategy, as a founder resilience. How do you succeed in multiple worlds simultaneously? How do you break barriers - in your mind and in life? Moritz shares his personal journey and shows how to unlock potential, set goals, and follow through. Motivating, authentic, and packed with practical tips for everyone who wants more.",SL061
keynote,Keynote,Building something with Impact: Good Leadership - Leadership for Good,"In this keynote you will learn to sharpen your perspective on good leadership - which often comes from leadership with good.
In a world where we are too often surrounded by bad news, this inspiring talk will show you to focus on the good: How can we learn from the non-profit sector in terms of leadership? How can you as a leader actually do something good if you are able to broaden your horizon and think outside the box? How can impact be a skill on the road to great leadership skills?In a world where we are too often surrounded by bad news, this inspiring talk will show you to focus on the good: How can we learn from the non-profit sector in terms of leadership? How can you as a leader actually do something good if you are able to broaden your horizon and think outside the box? How can impact be a skill on the road to great leadership skills?ßen Worten - sondern in dem, was du für andere möglich machst. Während viele auf Probleme starren, richtet diese Keynote den Blick auf eine Frage, die Zukunft gestaltet: Was können wir von Non-Profits über wirksame Führung lernen?

Das nimmst du mit: 
- Wie „Leadership with good“ funktioniert: Verantwortung übernehmen, ohne dich zu überfordern 
- Praktische Prinzipien aus dem Non-Profit-Sektor, die du sofort in Teamführung und Entscheidungen übersetzen kannst 
- Wie du Impact als Future Skill entwickelst: vom guten Vorsatz zur messbaren Wirkung 
- Wie du „outside the box“ denkst, ohne Fokus zu verlieren - klar, menschlich, effektiv 
- Wie du deine Rolle als Leader neu rahmst: Sinn + Performance statt entweder-oder 

Du profitierst von Perspektiven aus Leadership in Organisationen, die täglich mit begrenzten Ressourcen maximale Wirkung erzielen. Geh raus und gestalte Führung so, dass sie Leistung stärkt - und gleichzeitig Gutes möglich macht.",SL084
keynote,Keynote,Building Your Career in a Global Company as a German,"Have you ever heard of Jack Daniels? 
Thomas Hinrichs joined Brown-Forman (Louisville, Kentucky) in 1996 as a marketing manager in Germany and worked there for nearly 30 years. 
In this keynote you will learn about the differences of markets and leadership in different continents, the difficulties of intercultural cooperations and how it is to build a career in an american company as a german.",SL082
keynote,Keynote,Carbon Capture & Storage - From University Prototype to Climate Scale Up,"Climate tech needs to scale - fast. Planeteers founder Florian Birner took a university carbon capture prototype and turned it into a venture-backed climate startup. How do you commercialize hard science? Navigate regulations? Convince investors that climate tech isn't just impact, but profit? Florian shares the brutal realities of building a hardware climate startup: from fundraising to pilot projects to scaling globally. For founders who want to save the planet - and build a business.",SL154
keynote,Keynote,Confidence: The By-product of Action,"This keynote reframes confidence as something that is built through action, not a prerequisite for leadership. Through practical examples and simple frameworks, participants learn how to work with self-doubt and take small, intentional steps that build confidence over time.",SL001
keynote,Keynote,"Der Stuhl ist zu groß. Gut so! Selbstführung für Young Leaders: stabil werden, während Du wächst.","Der Moment, in dem es offiziell wird: neue Rolle, neue Sichtbarkeit, neue Erwartungen, ist oft der Moment, in dem es innen kurz wackelt. Dann kommt dieser Gedanke: “Der Stuhl ist zu groß - diese Rolle ist zu groß.” 

In dieser Keynote verbindet Stefanie Bahr eine radikal ehrliche Leadership-Story mit einem klaren Toolkit für Selbstführung: Identität halten, Fokus schützen, Energie führen. Berührend, kraftvoll und vor allem praktisch für ambitionierte Talente, High Potentials und Young Leaders, die Verantwortung übernehmen wollen, ohne sich zu verlieren.

Wachstum fühlt sich zu groß an - bis du lernst, dich selbst zu führen.",SL085
keynote,Keynote,"Die Idee war nie das Problem. Das Betriebssystem hinter den Startups, die gewinnen.","Ideen sind überall. Aber in Europa scheitern zu viele davon an denselben Mustern: zu viel Validierung, zu wenig Execution, zu viel Warten auf das perfekte Timing. Sebastian Ihler, CPO von Factory Berlin, glaubt, dass der europäische Startup-Code grundlegend neu geschrieben werden muss — weg vom Pitch-Denken, hin zu echtem Company Building.

Factory Berlin hat sich von einem Coworking-Space zu einem Neo Company Builder entwickelt, der Gründer:innen nicht nur Raum gibt, sondern ihnen Strategie, Execution und Netzwerk zur Verfügung stellt, um Unternehmen wirklich zu skalieren. In dieser Session zeigt Sebastian, warum eure Idee allein wertlos ist — und was es wirklich braucht, um aus einer Vision ein skalierbares Business zu bauen. Direkt, ehrlich und praxisnah.",SL053
keynote,Keynote,Die Welt unter meinem Boot,"Die Zukunft beginnt nicht morgen - sie entsteht durch die Entscheidungen, die wir heute treffen. Klimawandel, fragile Lieferketten, digitale Transformation und geopolitische Spannungen stellen Unternehmen vor neue Herausforderungen. Boris Herrmann spricht über diese Entwicklungen aus einer einzigartigen Perspektive auf dem Ozean - und darüber, wie wir ihnen mutig, pragmatisch und lösungsorientiert begegnen können.",SL176
keynote,Keynote,Die Wärmewende: Eines der wichtigsten Spielfelder unserer Generation - und vielleicht das unterschätzteste!,"Wärme ist der größte Energiesektor in Deutschland - und gleichzeitig einer der entscheidenden Hebel für Klima, Wirtschaft und technologische Zukunft. Christopher zeigt, warum der Wärmemarkt neu gedacht werden muss, welche Chancen er für Innovation, Industrie und Jobs bietet und wie jede Entscheidung jetzt die Wettbewerbsfähigkeit Deutschlands prägt.",SL169
keynote,Keynote,"Ein Leben nach Olympia: Ambitionen haben, ohne sich dabei zu verlieren","Rio 2016: Das vermutlich größte Sportereignis der Welt. Und sie holt mit Deutschland eine Bronzemedaille. In dieser bewegenden Keynote spricht Nike Lorenz über die Parallelen zwischen Leistungssport und der Arbeitswelt. Über das, was sie aus ihrer Zeit im Profisport gelernt hat. Und über die Herausforderungen dabei, in ihrer zweiten Karriere anzukommen.
Was Nike in beiden Welten vereint, ist ihr unbändiger Wille zu lernen und der Glaube daran, dass man nur wirklich gut in etwas werden kann, wenn man eine Leidenschaft dafür entwickelt.",SL081
keynote,Keynote,"From Agentic to Agency: The Algorithm Knows You, Time to Know It Back.","Everyone is racing to build agentic AI. But almost nobody is asking what it does to society's ability to stay in control of itself. Those who do will have a meaningful advantage.

Agentic AI is shifting us from an attention economy to an intention economy, one that not only serves content but shapes what you want, decide and become. Social media already showed how the former can erode well-being and democratic resilience. Yet, what's coming next is a far greater disruption and the window to get ahead of it is narrowing fast.

Zina Efchary, AI researcher at the OECD and University of Cambridge and co-founder of Myranda, describes this as gradual disempowerment. Having spent his career at the intersection of AI interpretability, ethics and policy, he offers a perspective on how algorithmic systems shape human identity and what it would take to redesign them in ways that restore rather than erode human agency.

As a concrete solution, he introduces Myranda: a privacy-first tool that gives users visibility into how their information diet is shaped, helps them understand the signals behind their recommendations and enables them to actively reshape those systems without giving up their personal data.

You'll leave with a clearer picture of where this is heading, but more than answers, this is an invitation for product builders and leaders to ask harder questions about your business model's incentives, who your product truly serves and what it means to build responsibly at a moment that will define the next era of human agency.",SL112
keynote,Keynote,From Climate Summits to the Boardroom: Negotiation Skills That Scale,"Global negotiations shape the future - and they fail for the same reasons business deals fail: weak process, low transparency, and perceived unfairness. Drawing on insights from high-stakes multilateral summits and 40+ years of negotiation practice with companies, Dr. Kai Monheim shares a leader’s playbook to move beyond positions, uncover interests, and design negotiations that create better outcomes and stronger relationships.",SL074
keynote,Keynote,From Concrete Ideas to Global Impact: The Nobel Prize-Winning Science Reshaping Construction,"What if we could build with 80% less material and 90 % less CO₂? Prof. Dr. Manfred Curbach made it reality—winning the Nobel Sustainability Award 2025. For 30 years, he pioneered carbon-reinforced concrete: 4x lighter, 4x stronger than traditional concrete. His CUBE building in Dresden proves sustainable construction works at scale. Hear how persistence turned a radical idea into industry transformation, lessons from leading a €50M research consortium with 160+ partners, and what scientists and sciencepreneurs need to know about translating research into real-world impact. And the next step will revolutionize the automation of building reinforced concrete as an answer to increasing building costs and labor shortage.",SL168
keynote,Keynote,From Lab to Impact - How Hamburg Builds Deep Tech Infrastructure,"How do you turn scientific breakthroughs into real companies?

In this talk, Arik Willner shares how Hamburg is building the structures needed to move from research to scalable ventures. Drawing on his experience at the intersection of science, industry, and venture building, he outlines what Deep Tech really needs to succeed.

The key insight: it’s not a lack of ideas - it’s a lack of infrastructure.
And that is exactly what Hamburg is starting to build.",SL136
keynote,Keynote,From Lab to Market: How to Build a Hardware Prototype in Less Than 6 Months,"Hardware is hard - but it doesn't have to take years. GoodBytz CEO Dr. Hendrik Susemihl built AI-powered kitchen robots from concept to deployment in record time. His playbook: how to move from lab prototype to market-ready hardware in under six months. Supplier strategies, iteration cycles, testing shortcuts, and the biggest mistakes to avoid. A masterclass for deep tech founders who want to ship faster without compromising quality. Practical, actionable, battle-tested.",SL152
keynote,Keynote,From Lithium Dependency to European Sovereignty - Breaking Free from China's Battery Monopoly,"Europe is addicted to Chinese batteries - and lithium. CMBlu CEO Constantin Eis is building the alternative: organic flow batteries that don't need rare earths. How material science and AI are rewriting energy storage, why lithium won't dominate forever, and what Europe must do to regain sovereignty. A masterclass in deep tech innovation, supply chain independence, and the race to build the battery technology that will power our energy transition - without China.",SL147
keynote,Keynote,From Opportunity to Orbit - Space as Europe’s Next Growth Engine,"Europe's space economy is heading toward a trillion-euro revolution. Christine Klein, Acting Director at ESA reveals how commercial space is becoming one of Europe's fastest-growing industries. Learn why investments are skyrocketing, how ESA fuels innovation with 160+ partners, what career paths exist beyond Earth, and where Europe's biggest opportunities lie in the new space race. Space is no longer science fiction—it's Europe's next economic powerhouse.",SL142
keynote,Keynote,Future Skills - Was dich in 5 Jahren noch relevant macht,"Diese Keynote gibt Dir Orientierung in einer Arbeitswelt, in der KI Einstiegsrollen neu verteilt und du trotzdem (oder genau deshalb) Gestaltungsmacht hast.

Als CCO einer Hochschule, die lebenslanges Lernen, Praxisprojekte und Zukunftstechnologien konsequent ins Studium baut zeigt Robin, was heute wichtig ist um in einer sich immer schneller technifizierenden Welt erfolgreich zu sein.",SL113
